Q255042	Älvängen	Älvängen	Älvängen	6163	488	Point(12.116623494 57.954005258)	http://www.wikidata.org/entity/Q213551, http://www.wikidata.org/entity/Q498470	Västergötland, Ale kommun	http://commons.wikimedia.org/wiki/Special:FilePath/AlvangenMarch.jpeg
Q178538	Vårgårda	Vårgårda	Vårgårda	5825	514	Point(12.808309707 58.03410006)	http://www.wikidata.org/entity/Q103093, http://www.wikidata.org/entity/Q213551, http://www.wikidata.org/entity/Q254990, http://www.wikidata.org/entity/Q511297	Västra Götalands län, Västergötland, Älvsborgs län, Vårgårda kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Marknadsplatsen%20i%20V%C3%A5rg%C3%A5rda%2C%20den%2016%20juni%202006%2C%20bild%202.JPG
Q145642	Storvik	Storvik	Storvik	2255	267	Point(16.525739227 60.585656008)	http://www.wikidata.org/entity/Q103699, http://www.wikidata.org/entity/Q149539, http://www.wikidata.org/entity/Q183459, http://www.wikidata.org/entity/Q21779080	Gävleborgs län, Sandvikens kommun, Gästrikland, Ovansjö distrikt	http://commons.wikimedia.org/wiki/Special:FilePath/Church%20of%20Storvik.jpg
Q205769	Juoksengi	Juoksengi	Juoksengi	286	151	Point(23.844046477 66.564510551)	http://www.wikidata.org/entity/Q211649, http://www.wikidata.org/entity/Q307603, http://www.wikidata.org/entity/Q21721314	Norrbotten, Övertorneå kommun, Svansteins distrikt	http://commons.wikimedia.org/wiki/Special:FilePath/Juoksengi%20Sweden.jpg
Q205769	Juoksengi	Juoksengi	Juoksengi	286	151	Point(23.844046477 66.564510551)	http://www.wikidata.org/entity/Q211649, http://www.wikidata.org/entity/Q307603, http://www.wikidata.org/entity/Q21721314	Norrbotten, Övertorneå kommun, Svansteins distrikt	http://commons.wikimedia.org/wiki/Special:FilePath/Juoksengi%20-%20KMB%20-%2016000300022512.jpg
Q260609	Övertorneå	Övertorneå	Övertorneå	1737	259	Point(23.643648052 66.388067238)	http://www.wikidata.org/entity/Q211649, http://www.wikidata.org/entity/Q307603	Norrbotten, Övertorneå kommun	http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96vertorne%C3%A5%20%C3%B6stra.JPG
Q254953	Älvkarleby	Älvkarleby	Älvkarleby	1490	255	Point(17.449674936 60.567306632)	http://www.wikidata.org/entity/Q59858	Älvkarleby kommun	http://commons.wikimedia.org/wiki/Special:FilePath/%C3%84lvkarleby%20-%20KMB%20-%2016000700019204.jpg
Q255161	Alfta	Alfta	Alfta	2466	382	Point(16.083592595 61.348412434)	http://www.wikidata.org/entity/Q206564, http://www.wikidata.org/entity/Q505085	Hälsingland, Ovanåkers kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Alfta%20kyrka.jpg
Q94385	Stockholm	Stockholm urban area	Stadtgebiet Stockholm	1617407	42243	Point(18.046331211 59.310087557)	http://www.wikidata.org/entity/Q109010, http://www.wikidata.org/entity/Q113718, http://www.wikidata.org/entity/Q113679, http://www.wikidata.org/entity/Q113692, http://www.wikidata.org/entity/Q203509, http://www.wikidata.org/entity/Q113730, http://www.wikidata.org/entity/Q492575, http://www.wikidata.org/entity/Q493066, http://www.wikidata.org/entity/Q301259, http://www.wikidata.org/entity/Q506250, http://www.wikidata.org/entity/Q503746, http://www.wikidata.org/entity/Q946647, http://www.wikidata.org/entity/Q972564, http://www.wikidata.org/entity/Q626062	Solna kommun, Botkyrka kommun, Danderyds kommun, Haninge kommun, Uppland, Tyresö kommun, Huddinge kommun, Täby kommun, Järfälla kommun, Stockholms kommun, Sollentuna kommun, Nacka kommun, Sundbybergs kommun, Södermanland	http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm%20lead%20image.jpg
Q496201	Hallstavik	Hallstavik	Hallstavik	4784	511	Point(18.598344638 60.047338648)	http://www.wikidata.org/entity/Q203509, http://www.wikidata.org/entity/Q214048	Uppland, Norrtälje kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Hallstaviks%20centrum%20Janaruy%202012b.jpg
Q596147	Långvik	Långvik	Långvik	1246	301	Point(18.5182706 59.2220135)	http://www.wikidata.org/entity/Q203509, http://www.wikidata.org/entity/Q493841	Uppland, Värmdö kommun	http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A5ngvik%20-%20KMB%20-%2016001000451804.jpg
Q297790	Öregrund	Öregrund	Öregrund	1597	419	Point(18.44556829 60.330378687)	http://www.wikidata.org/entity/Q59093	Östhammars kommun	http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96regrund%20from%20the%20Gr%C3%A4s%C3%B6%20ferry.jpg
Q298344	Österbybruk	Österbybruk	Österbybruk	2360	272	Point(17.896622638 60.197229108)	http://www.wikidata.org/entity/Q59093	Östhammars kommun	http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96sterbybruk%20vallonsmedjan.jpg
Q68971	Iggesund	Iggesund	Iggesund	3437	436	Point(17.082243413 61.645398716)	http://www.wikidata.org/entity/Q29963	Hudiksvalls kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Iggesunds%20kyrka%20ext1%202008-05-28.JPG
Q174126	Köping	Köping	Köping	18711	1007	Point(15.991544927 59.514072779)	http://www.wikidata.org/entity/Q42009	Köpings kommun	http://commons.wikimedia.org/wiki/Special:FilePath/K%C3%B6ping%2C%20Sweden.JPG
Q202037	Billdal	Billdal	Billdal	15260	1873	Point(11.946499782 57.542406803)	http://www.wikidata.org/entity/Q52502, http://www.wikidata.org/entity/Q213551, http://www.wikidata.org/entity/Q499380, http://www.wikidata.org/entity/Q626045	Göteborgs kommun, Västergötland, Kungsbacka kommun, Halland	http://commons.wikimedia.org/wiki/Special:FilePath/Billdal%20wybrzeze.jpg
Q298374	Österfärnebo	Österfärnebo	Österfärnebo	462	132	Point(16.803303606 60.303933119)	http://www.wikidata.org/entity/Q149539	Sandvikens kommun	http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96sterf%C3%A4rnebo%20kyrka.jpg
Q527249	Lyrestad	Lyrestad	Lyrestad	489	70	Point(14.058427572 58.804060536)	http://www.wikidata.org/entity/Q213551, http://www.wikidata.org/entity/Q103093, http://www.wikidata.org/entity/Q427422	Västergötland, Västra Götalands län, Mariestads kommun	http://commons.wikimedia.org/wiki/Special:FilePath/HamnmagasinetLyrestad.jpg
Q548821	Tidan	Tidan	Tidan	982	144	Point(14.008103546 58.570666459)	http://www.wikidata.org/entity/Q213551, http://www.wikidata.org/entity/Q103093, http://www.wikidata.org/entity/Q501452	Västergötland, Västra Götalands län, Skövde kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Tidan%2C%20fabrik.jpg
Q531776	Hyltebruk	Hyltebruk	Hyltebruk	4072	467	Point(13.240729061 57.000195618)	http://www.wikidata.org/entity/Q199957, http://www.wikidata.org/entity/Q498477	Småland, Hylte kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Hyltebruks%20kyrka%2C%20Halland%202.jpg
Q596567	Veddige	Veddige	Veddige	2346	200	Point(12.328482218 57.267074029)	http://www.wikidata.org/entity/Q179180	Varbergs kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Veddige%20kyrka.jpg
Q255003	Älvsbyn	Älvsbyn	Älvsbyn	5034	663	Point(21.001406157 65.676548056)	http://www.wikidata.org/entity/Q255025	Älvsbyns kommun	http://commons.wikimedia.org/wiki/Special:FilePath/%C3%84lvsbyns%20kyrka.jpg
Q642964	Hudiksvall	Hudiksvall	Hudiksvall	16570	1326	Point(17.112092431 61.728951538)	http://www.wikidata.org/entity/Q29963	Hudiksvalls kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Hudiksvall2010.JPG
Q746023	Hälleforsnäs	Hälleforsnäs	Hälleforsnäs	1615	216	Point(16.500764504 59.152879394)	http://www.wikidata.org/entity/Q27982	Flens kommun	http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%A4lleforsn%C3%A4s%20station%20Flen%202003.jpg
Q298270	Össjö	Össjö	Össjö	218	35	Point(13.033221746 56.228483536)	http://www.wikidata.org/entity/Q180756, http://www.wikidata.org/entity/Q255206, http://www.wikidata.org/entity/Q21560656	Skåne, Ängelholms kommun, Össjö distrikt	http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96ssj%C3%B6%20kyrka%20ext3.jpg
Q426327	Västra Karaby	Västra Karaby	Västra Karaby	273	62	Point(13.054414044 55.811183784)	http://www.wikidata.org/entity/Q180756, http://www.wikidata.org/entity/Q513370	Skåne, Kävlinge kommun	http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A4stra%20Karaby%20kyrka%202.jpg
Q221584	Rinkaby	Rinkaby	Rinkaby	749	126	Point(14.271287778 55.983680724)	http://www.wikidata.org/entity/Q498857	Kristianstads kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Rinkaby%20kyrka%2C%20sk%C3%A5ne.jpg
Q264780	Floda	Floda	Floda	8021	585	Point(12.366666666 57.816666666)	http://www.wikidata.org/entity/Q503188	Lerums kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Floda%20centrum%2C%20den%2015%20juli%202006.JPG
Q83715	Tumba	Tumba	Tumba	42873	1951	Point(17.823298658 59.193549436)	http://www.wikidata.org/entity/Q113718, http://www.wikidata.org/entity/Q516080, http://www.wikidata.org/entity/Q10433726, http://www.wikidata.org/entity/Q10509949, http://www.wikidata.org/entity/Q10660418	Botkyrka kommun, Salems kommun, Botkyrka landskommun, Grödinge landskommun, Salems kommun (1971-73)	http://commons.wikimedia.org/wiki/Special:FilePath/Tumba%2C%20Gr%C3%B6dingev%C3%A4gen.JPG
Q668933	Torsåker	Torsåker	Torsåker	890	133	Point(16.475790547 60.511707376)	http://www.wikidata.org/entity/Q62464	Hofors kommun	http://commons.wikimedia.org/wiki/Special:FilePath/Tors%C3%A5kers%20kyrka.JPG
Q747975	Riddarhyttan	Riddarhyttan	Riddarhyttan	296	75	Point(15.548142927 59.808211082)	http://www.wikidata.org/entity/Q37462	Skinnskattebergs kommun	http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A4ckegruvan.JPG
Q748257	Dalarö	Dalarö	Dalarö	1912	604	Point(18.444563871 59.155764749)	http://www.wikidata.org/entity/Q113692, http://www.wikidata.org/entity/Q626062	Haninge kommun, Södermanland	http://commons.wikimedia.org/wiki/Special:FilePath/Dalar%C3%B6.jpg
Q765434	Höör	Höör	Höör	12802	1619	Point(13.547300205 55.909673429)	http://www.wikidata.org/entity/Q180756, http://www.wikidata.org/entity/Q266401, http://www.wikidata.org/entity/Q504619	Skåne, Höörs kommun, Hörby kommun	http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%B6%C3%B6r.jpg
Q271299	Åstorp	Åstorp	Åstorp	10556	777	Point(12.933844193 56.130728734)	http://www.wikidata.org/entity/Q180756, http://www.wikidata.org/entity/Q201813, http://www.wikidata.org/entity/Q255206, http://www.wikidata.org/entity/Q511310	Skåne, Åstorps kommun, Ängelholms kommun, Bjuvs kommun	http://commons.wikimedia.org/wiki/Special:FilePath/%C3%85storps%20hembygdsg%C3%A5rd.jpg
Q665718	Tågarp	Tågarp	Tågarp	460	54	Point(12.955611487 55.924972429)	http://www.wikidata.org/entity/Q180756, http://www.wikidata.org/entity/Q504227, http://www.wikidata.org/entity/Q502298	Skåne, Svalövs kommun, Landskrona kommun	http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%A5garp.jpg
